spot_name,canonical_name,current_latitude,current_longitude,candidate_latitude,candidate_longitude,osm_type,osm_id,osm_name,osm_natural,distance_from_current_m,score
"Ameland - Nes","ameland - nes","53.445","5.771","53.448779","5.7789779","way","72734498","","beach","675","63"
"Ameland - Nes","ameland - nes","53.445","5.771","53.4596897","5.7828376","way","1020082172","","beach","1812","52"
"Ameland - Nes","ameland - nes","53.445","5.771","53.4598612","5.7855664","way","1020082173","","beach","1913","51"
"Ameland - Nes","ameland - nes","53.445","5.771","53.4600871","5.791427","way","356917404","","beach","2155","48"
"Ameland - Nes","ameland - nes","53.445","5.771","53.4602931","5.7959083","way","1020082174","","beach","2369","46"
"Bergen aan Zee","bergen aan zee","52.669","4.651","52.6722194","4.6305495","node","6940012908","Nude Beach -Bergen aan Zee","beach","1425","56"
"Bergen aan Zee","bergen aan zee","52.669","4.651","52.6811486","4.63195","way","502150524","Naturistenstrand Bergen/Schoorl","beach","1864","51"
"Bergen aan Zee","bergen aan zee","52.669","4.651","52.6841115","4.6368143","way","119084126","De Kerf","beach","1933","51"
"Bergen aan Zee","bergen aan zee","52.669","4.651","52.6940348","4.6347593","node","6940002855","Nude Beach - Schoorl aan Zee","beach","2991","40"
"Bergen aan Zee","bergen aan zee","52.669","4.651","52.708827","4.637049","way","502150525","","beach","4527","30"
"Brouwersdam","brouwersdam","51.7671","3.8503","51.7654769","3.8501884","way","61728057","","beach","181","68"
"Brouwersdam","brouwersdam","51.7671","3.8503","51.7593915","3.8643584","way","61591260","","beach","1293","57"
"Brouwersdam","brouwersdam","51.7671","3.8503","51.7543905","3.8519197","way","292237806","","beach","1418","56"
"Brouwersdam","brouwersdam","51.7671","3.8503","51.7531817","3.8577956","way","1210850892","","beach","1631","54"
"Brouwersdam","brouwersdam","51.7671","3.8503","51.781559","3.8728058","relation","19688014","","beach","2232","48"
"Brouwersdam Noordzee","brouwersdam noordzee","51.745","3.819","51.7353275","3.8080648","way","1422532062","","beach","1313","57"
"Brouwersdam Noordzee","brouwersdam noordzee","51.745","3.819","51.7543905","3.8519197","way","292237806","","beach","2495","45"
"Brouwersdam Noordzee","brouwersdam noordzee","51.745","3.819","51.7383765","3.854876","way","141699590","","beach","2578","44"
"Brouwersdam Noordzee","brouwersdam noordzee","51.745","3.819","51.7531817","3.8577956","way","1210850892","","beach","2821","42"
"Brouwersdam Noordzee","brouwersdam noordzee","51.745","3.819","51.7654769","3.8501884","way","61728057","","beach","3129","39"
"Cadzand-Bad","cadzand-bad","51.374","3.389","51.3705707","3.3745518","way","74591130","","beach","1073","59"
"Cadzand-Bad","cadzand-bad","51.374","3.389","51.3845053","3.4049014","way","74443628","","beach","1607","54"
"Cadzand-Bad","cadzand-bad","51.374","3.389","51.3908451","3.4289224","way","74443629","","beach","3344","37"
"Cadzand-Bad","cadzand-bad","51.374","3.389","51.389314","3.4332708","way","1380093359","","beach","3513","35"
"Cadzand-Bad","cadzand-bad","51.374","3.389","51.3866386","3.4361464","way","1408911381","","beach","3561","34"
"Castricum aan Zee","castricum aan zee","52.5455","4.613","52.5889269","4.6102986","way","685480262","","beach","4832","30"
"Castricum aan Zee","castricum aan zee","52.5455","4.613","52.7104544","4.6386762","way","674716651","","coastline","18424","5"
"Den Helder","den helder","52.9644","4.7478","52.9643688","4.757941","way","108917455","","coastline","679","38"
"Den Helder","den helder","52.9644","4.7478","52.9525212","4.8009062","way","108903822","","beach","3795","32"
"Den Helder","den helder","52.9644","4.7478","52.959295","4.727546","way","961680665","","coastline","1471","30"
"Den Helder","den helder","52.9644","4.7478","52.9752361","4.6900273","relation","11724204","","beach","4052","30"
"Den Helder","den helder","52.9644","4.7478","53.0135948","4.7410073","way","1294578714","","beach","5489","30"
