name,latitude,longitude,launch_latitude,launch_longitude,coordinate_status
"Ameland - Nes","53.445","5.771","","","unverified"
"Bergen aan Zee","52.669","4.651","","","unverified"
"Brouwersdam","51.7671","3.8503","","","unverified"
"Brouwersdam Noordzee","51.745","3.819","","","unverified"
"Brouwersdam Zuid","51.741","3.822","","","unverified"
"Cadzand-Bad","51.374","3.389","","","unverified"
"Camperduin","52.73","4.647","","","unverified"
"Castricum aan Zee","52.5455","4.613","","","unverified"
"Den Helder","52.9644","4.7478","","","unverified"
"Den Oever","52.933","5.025","","","unverified"
"Domburg","51.563","3.496","","","unverified"
"Groene Beach Terschelling","53.359","5.296","","","unverified"
"Harlingen","53.1756","5.4082","","","unverified"
"Hindeloopen","52.9438","5.3981","","","unverified"
"Hoek van Holland","51.9776","4.1217","","","unverified"
"IJmuiden","52.4619","4.5719","","","unverified"
"Katwijk aan Zee","52.204","4.402","","","unverified"
"Kijkduin","52.056","4.221","","","unverified"
"Langevelderslag","52.293","4.382","","","unverified"
"Lauwersmeer","53.37","6.183","","","unverified"
"Maasvlakte","51.9803","3.9908","","","unverified"
"Makkum","53.0528","5.4004","","","unverified"
"Medemblik","52.773","5.09","","","unverified"
"Mirns","52.854","5.45","","","unverified"
"Muiderberg","52.326","5.122","","","unverified"
"Neeltje Jans","51.635","3.719","","","unverified"
"Nieuwvliet","51.3715","3.4444","","","unverified"
"Noordwijk","52.2428","4.432","","","unverified"
"Noordwijk Zuid","52.219","4.4145","","","unverified"
"Oostkapelle","51.577","3.55","","","unverified"
"Oostvoorne","51.9112","4.0844","","","unverified"
"Oostvoorne Maasvlakte Slufter","51.9557","4.0105","","","unverified"
"Oudeschild Texel","53.039","4.85","","","unverified"
"Petten","52.7671","4.6594","","","unverified"
"Roompot","51.5928","3.696","","","unverified"
"Scheveningen Jump Team","52.1042","4.2638","52.103975","4.263922","verified"
"Scheveningen KZVS","52.1053","4.2642","52.104476","4.26418","verified"
"Scheveningen Zuid","52.0986","4.2489","52.108166","4.269829","verified"
"Strand Horst","52.32","5.57","","","unverified"
"Texel Paal 17","53.0749","4.7185","","","unverified"
"Veerse Meer","51.558","3.705","","","unverified"
"Wassenaarse Slag","52.145","4.334","","","unverified"
"Westkapelle","51.531","3.438","","","unverified"
"Wijk aan Zee","52.493","4.585","","","unverified"
"Workum","52.9764","5.4478","","","unverified"
"Zandvoort","52.3713","4.5332","","","unverified"
"Zeewolde","52.34","5.518","","","unverified"
